,Unnamed: 0,Date,Total Tested,Total Cases,Total Deaths,Total Recovered,Newly Tested,New Cases,New Deaths,Newly Recovered,Notes,Day of Pandemic/Outbreak,Positivity rate,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
113,113,2020-07-01,784335.0,149258.0,1888.0,62108.0,17875.0,3775.0,41.0,2484.0,0,113/111,0.2111888111888112,0.012649238231786571,0.01259542494127696,0.012137545723747423,18046.0,3823.6666666666665,50.0,17698.714285714286,3799.714285714286,43.714285714285715,1777.4285714285713
114,114,2020-07-02,802697.0,153277.0,1926.0,66442.0,18362.0,4019.0,38.0,4334.0,0,114/112,0.21887593944014813,0.012565486015514396,0.01340953982489857,0.012468230186262946,18221.0,3825.3333333333335,47.666666666666664,17750.571428571428,3810.1428571428573,43.57142857142857,2135.285714285714
115,115,2020-07-03,817347.0,156391.0,1968.0,68048.0,14650.0,3114.0,42.0,1606.0,0,115/113,0.21255972696245734,0.012583844338868605,0.010389974375400384,0.00994769481694544,16962.333333333332,3636.0,40.333333333333336,17200.85714285714,3702.4285714285716,43.857142857142854,2130.714285714286
116,116,2020-07-04,832074.0,159679.0,1997.0,70721.0,14727.0,3288.0,29.0,2673.0,0,116/114,0.22326339376655124,0.012506340846322935,0.010970531710442025,0.00999997962929389,15913.0,3473.6666666666665,36.333333333333336,17139.428571428572,3671.5714285714284,43.142857142857146,2343.285714285714
117,117,2020-07-05,846062.0,162417.0,2052.0,72625.0,13988.0,2738.0,55.0,1904.0,0,117/115,0.19573920503288533,0.012634145440440349,0.009135436685885116,0.009498181235456165,14455.0,3046.6666666666665,42.0,16552.14285714286,3518.5714285714284,44.857142857142854,2414.0
118,118,2020-07-06,860307.0,165618.0,2096.0,76149.0,14245.0,3201.0,44.0,3524.0,0,118/116,0.2247104247104247,0.01265562921904624,0.010680253042921204,0.00967269028446333,14320.0,3075.6666666666665,42.666666666666664,16039.0,3402.4285714285716,44.714285714285715,2624.1428571428573
119,119,2020-07-07,873480.0,168645.0,2151.0,78102.0,13173.0,3027.0,55.0,1953.0,"The total number of coronavirus cases in Bangladesh exceeded the total number of coronavirus cases in France. In terms of the number of recoveries, Bangladesh also overtook France.",119/117,0.22978820314279208,0.01275460286400427,0.010099695707879565,0.008944777052806982,13802.0,2988.6666666666665,51.333333333333336,15288.57142857143,3308.8571428571427,43.42857142857143,2639.714285714286
120,120,2020-07-08,889152.0,172134.0,2197.0,80838.0,15672.0,3489.0,46.0,2736.0,Bangladesh overtook China in terms of the number of recoveries.,120/118,0.22262633996937212,0.012763312303205642,0.011641175528507366,0.010641656871752146,14363.333333333334,3239.0,48.333333333333336,14973.857142857143,3268.0,44.142857142857146,2675.714285714286
121,121,2020-07-09,904784.0,175494.0,2238.0,84544.0,15632.0,3360.0,41.0,3706.0,0,121/119,0.21494370522006143,0.012752572737529487,0.011210762331838564,0.010614495930272432,14825.666666666666,3292.0,47.333333333333336,14583.857142857143,3173.8571428571427,44.57142857142857,2586.0
122,122,2020-07-10,918272.0,178443.0,2275.0,86406.0,13488.0,2949.0,37.0,1862.0,0,122/120,0.2186387900355872,0.012749169202490432,0.009839445868033312,0.009158669466959733,14930.666666666666,3266.0,41.333333333333336,14417.857142857143,3150.285714285714,43.857142857142854,2622.5714285714284
123,123,2020-07-11,929465.0,181129.0,2305.0,88034.0,11193.0,2686.0,30.0,1628.0,0,123/121,0.23997141070311803,0.012725736905741213,0.008961936792654281,0.007600310449561113,13437.666666666666,2998.3333333333335,36.0,13913.0,3064.285714285714,44.0,2473.285714285714
124,124,2020-07-12,940524.0,183795.0,2352.0,93614.0,11059.0,2666.0,47.0,5580.0,The number of recoveries in Bangladesh exceeded the number of active cases.,124/122,0.24107062121349127,0.012796866073614625,0.008895206064488575,0.007509321295604069,11913.333333333334,2767.0,38.0,13494.57142857143,3054.0,42.857142857142854,2998.4285714285716
125,125,2020-07-13,952947.0,186894.0,2391.0,98317.0,12423.0,3099.0,39.0,4703.0,0,125/123,0.2494566529823714,0.012793348101062635,0.010339926329276106,0.008435509400062335,11558.333333333334,2817.0,38.666666666666664,13234.285714285714,3039.4285714285716,42.142857142857146,3166.8571428571427
126,126,2020-07-14,966400.0,190057.0,2424.0,103227.0,13453.0,3163.0,33.0,4910.0,0,126/124,0.23511484427265295,0.01275406851628722,0.010553464659406363,0.009134903643164983,12311.666666666666,2976.0,39.666666666666664,13274.285714285714,3058.8571428571427,39.0,3589.285714285714
